;Enzyme_ID;Flux_FBA;Flux;Concentration;Kapp;Comment;Pseudo complex members;Taken from
R_13GS;R_13GS_enzyme;0,07426781517224999;1,0;3,1218619204917264e-07;237895,90015099716;estimated;R_13GS_enzyme , R_13GS_duplicate_2_enzyme , R_13GS_duplicate_5_enzyme , R_13GS_duplicate_7_enzyme , R_13GS_duplicate_11_enzyme , R_13GS_duplicate_14_enzyme;
R_13GS_duplicate_10;R_13GS_duplicate_10_enzyme;;1,0;;0,0;isoenzyme;;R_13GS
R_13GS_duplicate_11;R_13GS_duplicate_11_enzyme;0,07426781517224999;1,0;3,1218619204917264e-07;237895,90015099716;estimated;R_13GS_enzyme , R_13GS_duplicate_2_enzyme , R_13GS_duplicate_5_enzyme , R_13GS_duplicate_7_enzyme , R_13GS_duplicate_11_enzyme , R_13GS_duplicate_14_enzyme;
R_13GS_duplicate_12;R_13GS_duplicate_12_enzyme;;1,0;;0,0;isoenzyme;;R_13GS
R_13GS_duplicate_13;R_13GS_duplicate_13_enzyme;;1,0;;0,0;isoenzyme;;R_13GS
R_13GS_duplicate_14;R_13GS_duplicate_14_enzyme;0,07426781517224999;1,0;3,1218619204917264e-07;237895,90015099716;estimated;R_13GS_enzyme , R_13GS_duplicate_2_enzyme , R_13GS_duplicate_5_enzyme , R_13GS_duplicate_7_enzyme , R_13GS_duplicate_11_enzyme , R_13GS_duplicate_14_enzyme;
R_13GS_duplicate_15;R_13GS_duplicate_15_enzyme;;1,0;;0,0;isoenzyme;;R_13GS
R_13GS_duplicate_2;R_13GS_duplicate_2_enzyme;0,07426781517224999;1,0;3,1218619204917264e-07;237895,90015099716;estimated;R_13GS_enzyme , R_13GS_duplicate_2_enzyme , R_13GS_duplicate_5_enzyme , R_13GS_duplicate_7_enzyme , R_13GS_duplicate_11_enzyme , R_13GS_duplicate_14_enzyme;
R_13GS_duplicate_3;R_13GS_duplicate_3_enzyme;;1,0;;0,0;isoenzyme;;R_13GS
R_13GS_duplicate_4;R_13GS_duplicate_4_enzyme;;1,0;;0,0;isoenzyme;;R_13GS
R_13GS_duplicate_5;R_13GS_duplicate_5_enzyme;0,07426781517224999;1,0;3,1218619204917264e-07;237895,90015099716;estimated;R_13GS_enzyme , R_13GS_duplicate_2_enzyme , R_13GS_duplicate_5_enzyme , R_13GS_duplicate_7_enzyme , R_13GS_duplicate_11_enzyme , R_13GS_duplicate_14_enzyme;
R_13GS_duplicate_6;R_13GS_duplicate_6_enzyme;;1,0;;0,0;isoenzyme;;R_13GS
R_13GS_duplicate_7;R_13GS_duplicate_7_enzyme;0,07426781517224999;1,0;3,1218619204917264e-07;237895,90015099716;estimated;R_13GS_enzyme , R_13GS_duplicate_2_enzyme , R_13GS_duplicate_5_enzyme , R_13GS_duplicate_7_enzyme , R_13GS_duplicate_11_enzyme , R_13GS_duplicate_14_enzyme;
R_13GS_duplicate_8;R_13GS_duplicate_8_enzyme;;1,0;;0,0;isoenzyme;;R_13GS
R_13GS_duplicate_9;R_13GS_duplicate_9_enzyme;;1,0;;0,0;isoenzyme;;R_13GS
R_3MOBDC;R_3MOBDC_enzyme;0,9711361511796579;1,0;5,078604298990726e-07;1912210,7059466168;estimated;R_3MOBDC_enzyme , R_3MOBDC_duplicate_2_enzyme , R_3MOBDC_duplicate_3_enzyme;
R_3MOBDC_duplicate_2;R_3MOBDC_duplicate_2_enzyme;0,9711361511796579;1,0;5,078604298990726e-07;1912210,7059466168;estimated;R_3MOBDC_enzyme , R_3MOBDC_duplicate_2_enzyme , R_3MOBDC_duplicate_3_enzyme;
R_3MOBDC_duplicate_3;R_3MOBDC_duplicate_3_enzyme;0,9711361511796579;1,0;5,078604298990726e-07;1912210,7059466168;estimated;R_3MOBDC_enzyme , R_3MOBDC_duplicate_2_enzyme , R_3MOBDC_duplicate_3_enzyme;
R_3MOPDC;R_3MOPDC_enzyme;;;;1912210,7059466168;twinenzyme;;R_3MOBDC_duplicate_3_enzyme , R_PPYRDC_enzyme , R_PYRDC_duplicate_2_enzyme
R_4HTHRS;R_4HTHRS_enzyme;;;;5372,146955567556;twinenzyme;;R_THRS_enzyme
R_AASAD1;R_AASAD1_enzyme;;;;12963,718379260546;twinenzyme;;R_AASAD2_enzyme
R_AASAD2;R_AASAD2_enzyme;0,0221303579257011;1,0;1,7070995588044717e-06;12963,718379260546;estimated;R_AASAD2_enzyme;
R_ABTA;R_ABTA_enzyme;8,977281474437625e-06;1,0;6,176920735900842e-07;14,53358697362073;estimated;R_ABTA_enzyme;
R_ABUTDm;R_ABUTDm_enzyme;;;;29421,158681354435;twinenzyme;;R_ALDD2ym_duplicate_2_enzyme
R_ACACT1m;R_ACACT1m_enzyme;0,007301378368982795;1,0;6,173254739362582e-06;1182,7437352336924;estimated;R_ACACT1m_enzyme;
R_ACACT1r;R_ACACT1r_enzyme;;;;1182,7437352336924;twinenzyme;;R_ACACT1m_enzyme
R_ACALDCD;R_ACALDCD_enzyme;;;;1912210,7059466168;twinenzyme;;R_3MOBDC_duplicate_3_enzyme , R_PPYRDC_enzyme , R_PYRDC_duplicate_2_enzyme
R_ACGKm;R_ACGKm_enzyme;0,03095984039936875;1,0;1,550966716303842e-05;1996,1640745682876;estimated;R_ACGKm_enzyme;
R_ACGSm;R_ACGSm_enzyme;;;;4179,225092896532;twinenzyme;;R_ORNTACim_enzyme
R_ACHBSm;R_ACHBSm_enzyme;0,5980146158569271;1,0;1,4540185297760681e-05;41128,40404785121;estimated;R_ACHBSm_enzyme;
R_ACLSm;R_ACLSm_enzyme;0,5980146158569271;1,0;1,4540185297760681e-05;41128,40404785121;estimated;R_ACLSm_enzyme;
R_ACONT;R_ACONT_enzyme;0,1706856916818984;1,0;1,66462716309069e-05;10253,688962096992;estimated;R_ACONT_enzyme;
R_ACONTm;R_ACONTm_enzyme;;;;10253,688962096992;twinenzyme;;R_ACONT_enzyme
R_ACOTAim;R_ACOTAim_enzyme;0,015479920199684374;1,0;4,5623438918360245e-06;3392,9753141547576;estimated;R_ACOTAim_enzyme;
R_ACS;R_ACS_enzyme;0,12389314399200138;1,0;8,268635088374512e-06;14983,50606452472;estimated;R_ACS_enzyme;
R_ACSm;R_ACSm_enzyme;0,49843872076618034;1,0;2,2916741928620444e-05;21749,981839420474;estimated;R_ACSm_enzyme;
R_ACSp;R_ACSp_enzyme;;;;21749,981839420474;twinenzyme;;R_ACSm_enzyme
R_ADNK1;R_ADNK1_enzyme;0,004888960738418273;1,0;1,1381798051383724e-05;429,54203864335;estimated;R_ADNK1_enzyme;
R_ADSK;R_ADSK_enzyme;0,012428351420096004;1,0;6,570334288576818e-06;1891,585857618224;estimated;R_ADSK_enzyme;
R_ADSS;R_ADSS_enzyme;0,010656471966262973;1,0;3,1535651941198763e-06;3379,1823889142943;estimated;R_ADSS_enzyme;
R_AGAT_SC;R_AGAT_SC_enzyme;0,0058994567913126066;1,0;2,8400471060098305e-07;20772,390636862157;estimated;R_AGAT_SC_enzyme;
R_AGAT_SC_duplicate_2;R_AGAT_SC_duplicate_2_enzyme;;1,0;;0,0;isoenzyme;;R_AGAT_SC
R_AGPRim;R_AGPRim_enzyme;0,03095984039936875;1,0;1,550966716303842e-05;1996,1640745682876;estimated;R_AGPRim_enzyme;
R_AGTi;R_AGTi_enzyme;0,0019887909258467368;1,0;2,185552986821422e-06;909,9714982152651;estimated;R_AGTi_enzyme;
R_AHCi;R_AHCi_enzyme;0,004888960738418273;1,0;3,3255586472294196e-05;147,01171312950234;estimated;R_AHCi_enzyme;
R_AHSERL;R_AHSERL_enzyme;;;;898,776784319714;twinenzyme;;R_AHSERL2_enzyme
R_AHSERL2;R_AHSERL2_enzyme;0,012428351420096004;1,0;1,382807348490098e-05;898,776784319714;estimated;R_AHSERL2_enzyme;
R_AICART;R_AICART_enzyme;;;;6868,499628403578;twinenzyme;;R_IMPC_enzyme
R_ALASm;R_ALASm_enzyme;2,928594056186977e-05;1,0;1,1010425479716481e-07;265,9837316534282;estimated;R_ALASm_enzyme;
R_ALATA_Lm;R_ALATA_Lm_enzyme;0,0001267506324177277;-1,0;7,993365906686701e-07;158,56978636708826;estimated;R_ALATA_Lm_enzyme;
R_ALCD22xi_duplicate_2;R_ALCD22xi_duplicate_2_enzyme;;;;38690,46647826356;twinenzyme;;R_ALCD24xi_duplicate_4_enzyme , R_ALCD25xi_duplicate_2_enzyme , R_ALCD2x_new_enzyme
R_ALCD23xi;R_ALCD23xi_enzyme;;;;38690,46647826356;twinenzyme;;R_ALCD24xi_enzyme , R_ALCD25xi_enzyme , R_ALCD2x_new_duplicate_2_enzyme
R_ALCD24xi;R_ALCD24xi_enzyme;0,3243290725471487;1,0;8,92085034244976e-06;36356,295655340466;estimated;R_ALCD24xi_enzyme , R_ALCD24xi_duplicate_3_enzyme , R_ALCD24xi_duplicate_4_enzyme , R_ALCD24xi_duplicate_5_enzyme;
R_ALCD24xi_duplicate_2;R_ALCD24xi_duplicate_2_enzyme;;1,0;;0,0;isoenzyme;;R_ALCD24xi
