;Enzyme_ID;Flux_FBA;Flux;Concentration;Kapp;Comment;Pseudo complex members;Taken from
R_13GS;R_13GS_enzyme;0.15942345582800999;1.0;1.3980204420121167e-07;1140351.3928491487;estimated;R_13GS_enzyme , R_13GS_duplicate_2_enzyme , R_13GS_duplicate_5_enzyme , R_13GS_duplicate_7_enzyme , R_13GS_duplicate_11_enzyme , R_13GS_duplicate_14_enzyme;
R_13GS_duplicate_10;R_13GS_duplicate_10_enzyme;;1.0;;0.0;isoenzyme;;R_13GS
R_13GS_duplicate_11;R_13GS_duplicate_11_enzyme;0.15942345582800999;1.0;1.3980204420121167e-07;1140351.3928491487;estimated;R_13GS_enzyme , R_13GS_duplicate_2_enzyme , R_13GS_duplicate_5_enzyme , R_13GS_duplicate_7_enzyme , R_13GS_duplicate_11_enzyme , R_13GS_duplicate_14_enzyme;
R_13GS_duplicate_12;R_13GS_duplicate_12_enzyme;;1.0;;0.0;isoenzyme;;R_13GS
R_13GS_duplicate_13;R_13GS_duplicate_13_enzyme;;1.0;;0.0;isoenzyme;;R_13GS
R_13GS_duplicate_14;R_13GS_duplicate_14_enzyme;0.15942345582800999;1.0;1.3980204420121167e-07;1140351.3928491487;estimated;R_13GS_enzyme , R_13GS_duplicate_2_enzyme , R_13GS_duplicate_5_enzyme , R_13GS_duplicate_7_enzyme , R_13GS_duplicate_11_enzyme , R_13GS_duplicate_14_enzyme;
R_13GS_duplicate_15;R_13GS_duplicate_15_enzyme;;1.0;;0.0;isoenzyme;;R_13GS
R_13GS_duplicate_2;R_13GS_duplicate_2_enzyme;0.15942345582800999;1.0;1.3980204420121167e-07;1140351.3928491487;estimated;R_13GS_enzyme , R_13GS_duplicate_2_enzyme , R_13GS_duplicate_5_enzyme , R_13GS_duplicate_7_enzyme , R_13GS_duplicate_11_enzyme , R_13GS_duplicate_14_enzyme;
R_13GS_duplicate_3;R_13GS_duplicate_3_enzyme;;1.0;;0.0;isoenzyme;;R_13GS
R_13GS_duplicate_4;R_13GS_duplicate_4_enzyme;;1.0;;0.0;isoenzyme;;R_13GS
R_13GS_duplicate_5;R_13GS_duplicate_5_enzyme;0.15942345582800999;1.0;1.3980204420121167e-07;1140351.3928491487;estimated;R_13GS_enzyme , R_13GS_duplicate_2_enzyme , R_13GS_duplicate_5_enzyme , R_13GS_duplicate_7_enzyme , R_13GS_duplicate_11_enzyme , R_13GS_duplicate_14_enzyme;
R_13GS_duplicate_6;R_13GS_duplicate_6_enzyme;;1.0;;0.0;isoenzyme;;R_13GS
R_13GS_duplicate_7;R_13GS_duplicate_7_enzyme;0.15942345582800999;1.0;1.3980204420121167e-07;1140351.3928491487;estimated;R_13GS_enzyme , R_13GS_duplicate_2_enzyme , R_13GS_duplicate_5_enzyme , R_13GS_duplicate_7_enzyme , R_13GS_duplicate_11_enzyme , R_13GS_duplicate_14_enzyme;
R_13GS_duplicate_8;R_13GS_duplicate_8_enzyme;;1.0;;0.0;isoenzyme;;R_13GS
R_13GS_duplicate_9;R_13GS_duplicate_9_enzyme;;1.0;;0.0;isoenzyme;;R_13GS
R_3MOBDC;R_3MOBDC_enzyme;6.341393705140268;1.0;4.274324768488805e-07;14836012.817487145;estimated;R_3MOBDC_enzyme , R_3MOBDC_duplicate_2_enzyme , R_3MOBDC_duplicate_3_enzyme;
R_3MOBDC_duplicate_2;R_3MOBDC_duplicate_2_enzyme;6.341393705140268;1.0;4.274324768488805e-07;14836012.817487145;estimated;R_3MOBDC_enzyme , R_3MOBDC_duplicate_2_enzyme , R_3MOBDC_duplicate_3_enzyme;
R_3MOBDC_duplicate_3;R_3MOBDC_duplicate_3_enzyme;6.341393705140268;1.0;4.274324768488805e-07;14836012.817487145;estimated;R_3MOBDC_enzyme , R_3MOBDC_duplicate_2_enzyme , R_3MOBDC_duplicate_3_enzyme;
R_3MOPDC;R_3MOPDC_enzyme;;;;14836012.817487145;twinenzyme;;R_3MOBDC_duplicate_3_enzyme , R_PYRDC_duplicate_2_enzyme
R_4HTHRS;R_4HTHRS_enzyme;;;;11554.191998745448;twinenzyme;;R_THRS_enzyme
R_AASAD1;R_AASAD1_enzyme;;;;21862.3304842558;twinenzyme;;R_AASAD2_enzyme
R_AASAD2;R_AASAD2_enzyme;0.04487263902198704;1.0;2.052509409017587e-06;21862.3304842558;estimated;R_AASAD2_enzyme;
R_ABTA;R_ABTA_enzyme;3.936764483491633e-05;1.0;4.902977148284932e-07;80.2933475810451;estimated;R_ABTA_enzyme;
R_ABUTDm;R_ABUTDm_enzyme;;;;55823.009782058514;twinenzyme;;R_ALDD2ym_duplicate_2_enzyme
R_ACACT1m;R_ACACT1m_enzyme;0.014696134433230812;1.0;5.285489132299611e-06;2780.4681961074843;estimated;R_ACACT1m_enzyme;
R_ACACT1r;R_ACACT1r_enzyme;;;;2780.4681961074843;twinenzyme;;R_ACACT1m_enzyme
R_ACALDCD;R_ACALDCD_enzyme;;;;14836012.817487145;twinenzyme;;R_3MOBDC_duplicate_3_enzyme , R_PYRDC_duplicate_2_enzyme
R_ACGKm;R_ACGKm_enzyme;0.06451897357598203;1.0;9.929635003033308e-06;6497.617843583652;estimated;R_ACGKm_enzyme;
R_ACGSm;R_ACGSm_enzyme;;;;10402.343145096485;twinenzyme;;R_ORNTACim_enzyme
R_ACHBSm;R_ACHBSm_enzyme;0.42844334277189944;1.0;1.4257964336983221e-05;30049.404855121964;estimated;R_ACHBSm_enzyme;
R_ACLSm;R_ACLSm_enzyme;0.42844334277189944;1.0;1.4257964336983221e-05;30049.404855121964;estimated;R_ACLSm_enzyme;
R_ACONT;R_ACONT_enzyme;0.3145534544814339;1.0;1.7029406746612834e-05;18471.192752736315;estimated;R_ACONT_enzyme;
R_ACONTm;R_ACONTm_enzyme;;;;18471.192752736315;twinenzyme;;R_ACONT_enzyme
R_ACOTAim;R_ACOTAim_enzyme;0.03225948678799102;1.0;2.739788885760633e-06;11774.442533018375;estimated;R_ACOTAim_enzyme;
R_ACS;R_ACS_enzyme;0.24820780940223966;1.0;1.135507208618076e-05;21858.76122304068;estimated;R_ACS_enzyme;
R_ACSm;R_ACSm_enzyme;0.4607028295598904;1.0;3.4549230806741663e-06;133346.768886673;estimated;R_ACSm_enzyme;
R_ACSp;R_ACSp_enzyme;;;;133346.768886673;twinenzyme;;R_ACSm_enzyme
R_ADNK1;R_ADNK1_enzyme;0.0098404956305526;1.0;1.3873972597693075e-05;709.2774301852701;estimated;R_ADNK1_enzyme;
R_ADSK;R_ADSK_enzyme;0.023831397147879588;1.0;6.37527941017418e-06;3738.0945390169945;estimated;R_ADSK_enzyme;
R_ADSS;R_ADSS_enzyme;0.024495076938709892;1.0;3.606240439738945e-06;6792.413691773443;estimated;R_ADSS_enzyme;
R_AGAT_SC;R_AGAT_SC_enzyme;0.011874362032308326;1.0;3.6020058622706774e-07;32965.97086830618;estimated;R_AGAT_SC_enzyme;
R_AGAT_SC_duplicate_2;R_AGAT_SC_duplicate_2_enzyme;;1.0;;0.0;isoenzyme;;R_AGAT_SC
R_AGPRim;R_AGPRim_enzyme;0.06451897357598203;1.0;9.929635003033308e-06;6497.617843583652;estimated;R_AGPRim_enzyme;
R_AHCi;R_AHCi_enzyme;0.0098404956305526;1.0;4.282245186318893e-05;229.79757586023916;estimated;R_AHCi_enzyme;
R_AHSERL;R_AHSERL_enzyme;;;;1729.4103964321473;twinenzyme;;R_AHSERL2_enzyme
R_AHSERL2;R_AHSERL2_enzyme;0.023831397147879588;1.0;1.3780070477802637e-05;1729.4103964321473;estimated;R_AHSERL2_enzyme;
R_AICART;R_AICART_enzyme;;;;14516.825376882494;twinenzyme;;R_IMPC_enzyme
R_ALASm;R_ALASm_enzyme;0.00012844789029883282;1.0;1.5154642665522187e-07;847.581121731496;estimated;R_ALASm_enzyme;
