;FluxValues
R_AKGt2r;-0.0
R_AKGtp;-0.0
R_AKP1;0.0
R_ALASm;1.1865071400699842e-05
R_ALATA_L;-0.018410177019005984
R_ALATA_Lm;-4.4356501195500704e-05
R_ALATRS;0.010623521043379524
R_ALAt2r;0.0
R_ALAtmi;0.0
R_ALCD19y;0.0
R_ALCD22xi;0.0
R_ALCD22xim;0.0
R_ALCD22yi;0.0
R_ALCD23xi;0.0
R_ALCD23xim;0.0
R_ALCD23yi;0.0
R_ALCD24xi;0.12190383906220364
R_ALCD24xim;0.0
R_ALCD24yi;0.0
R_ALCD25xi;0.0
R_ALCD25xim;0.0
R_ALCD25yi;0.0
R_ALCD26xi;0.0
R_ALCD26xim;0.0
R_ALCD2x_new;-0.0178
R_ALCD2irm;0.0
R_ALDD19xr;0.0
R_ALDD20xm;0.0
R_ALDD20y;0.0
R_ALDD20ym;0.0
R_ALDD22x;0.0
R_ALDD2xm;0.0
R_ALDD2y;0.0
R_ALDD2ym;0.30501491576032497
R_ALLTAHr;-0.0
R_ALLTN;-0.0
R_ALLTNti;0.0
R_ALLTTti;0.0
R_ALPHNH;0.0
R_AMAOTr;-0.0
R_AMETt2;0.0
R_AMETtm;-0.0
R_AMID;0.0
R_AMID2;0.0
R_AMID3;0.0
R_AMPDA;0.0
R_AMPN;0.0
R_AMPtn;-0.0
R_ANPRT;0.0015010238068818731
R_ANS;0.0015010238068818731
R_AOBUTDs;0.0
R_AP4AH;-0.0
R_APRTO2;0.0
R_ARAB14LO;-0.0
R_ARAB1D2;0.0
R_ARABR;0.0
R_ARAB_Dt;-0.0
R_ARAB_Lt;-0.0
R_ARGN;0.0
R_ARGSL;0.006303144863051305
R_ARGSS;0.006303144863051305
R_ARGTRS;0.00566951603019694
R_ARGTRSm;1.4676932854365579e-05
R_ARGt2m;-0.0
R_ARGt2r;-0.0
R_ARGt6;0.0
R_ARMT;0.0
R_ASAD;-0.01986120269739134
R_ASNN;0.0
R_ASNNe;0.0
R_ASNS1;0.006507649332675771
R_ASNTRS;0.006474841151066395
R_ASNTRSm;3.280818160937614e-05
R_ASNt2m;-0.0
R_ASNt2r;-0.0
R_ASNt6;0.0
R_ASNt7;0.0
R_ASPCT;0.0032960198400975036
R_ASPGLU2m;0.031905114885712786
R_ASPGLUtp;-0.0
R_ASPK;0.01986120269739134
R_ASPOcm;0.0
R_ASPTA;0.0
R_ASPTAm;-0.05334604066338912
R_ASPTAp;-0.0
R_ASPTRS;0.0072044903102551645
R_ASPTRSm;1.2092300072265567e-05
R_ASPt2m;-0.021428833477604065
R_ASPt2n;-0.0
R_ASPt2r;-0.0
R_ASPt5n;-0.0
R_ASPt7;0.0
R_ATHRDHr;-0.0
R_ATP2tp_H;0.0
R_ATPATF1;0.0
R_ATPATF2;0.0
R_ATPATF3;0.0
R_ATPH1;0.0
R_ATPPRT;0.0025573951612366096
R_ATPS;0.25452637231030095
R_ATPS3g;0.0
R_ATPS3m;1.290210895437339
R_ATPS3v;0.0
R_ATPtm_H;0.7962180960021448
R_ATPtp_H;0.0
R_BACCL;0.0
R_BPNT;0.0054005376712301335
R_BTDD_RR;-0.0
R_BTDt_RR;0.0
R_BTNt2i;0.0
R_BTSr;-0.0
R_C14STR;0.0005817703865194103
R_C22STDS;0.0
R_C22STDSx;0.0005817703865194103
R_C24STRer;0.0005817703865194103
R_C3STDH1;0.0005817703865194103
R_C3STDH2;0.0005817703865194103
R_C3STKR1;0.0005817703865194103
R_C3STKR2;0.0005817703865194103
R_C4STMO1;0.0005817703865194103
R_C4STMO2;0.0005817703865194103
R_C5STDS;0.0005817703865194103
R_C8STI;0.0005817703865194103
R_CAT;0.015303491831894268
R_CATp;0.0
R_CBASPtn;-0.0
R_CBPS;0.009599164703148809
R_CBPtn;-0.0
R_CCP2m;0.030606983663788535
R_CDPDGPm_SC;-0.0
R_CDPtn;-0.0
R_CER1_24ter;-0.0
R_CER1_26ter;-0.0
R_CER2_24ter;-0.0
R_CER2_26ter;-0.0
R_CERASE124er;0.0
R_CERASE126er;0.0
R_CERASE224er;0.0
R_CERASE226er;0.0
R_CERH124_copy1;0.0
R_CERH126_copy1;0.0
R_CERS124;0.0
R_CERS124er;0.0
R_CERS126;0.0
R_CERS126er;0.0
R_CERS224;0.0
R_CERS224er;0.0
R_CERS226;0.0
R_CERS226er;0.0
R_CERH124_copy2;0.0
R_CERH126_copy2;0.0
R_CERS324;0.0
R_CERS326;0.0
R_CHLPCTD;0.0
R_CHLt2;0.0
R_CHOLK;0.0
R_CHORM;0.010647788917103124
R_CHORS;0.012148812723984992
R_CHRPL;0.0
R_CHTNDA;0.0
R_CHTNS;0.0
R_CITt2r;-0.0
R_CITtam;-0.09665115192933914
R_CITtap;-0.0
R_CITtbm;-0.0
R_CITtcm;-0.0
R_CITtcp;-0.0
R_CLPNSm_SC;0.0
R_CMPN;0.0
R_CO2t;-1.2007138107057842
R_CO2tg;-0.0
R_CO2tm;-0.3256073529573034
R_CO2tn;-0.0
R_CO2tp;-0.0
R_CO2tv;-0.0
R_COAHLp;0.0
R_COAtim;0.003490622319116469
R_COAtn;-0.0
R_COUCOAFm;0.0
R_CPPPGO;1.4804336562518652e-06
R_CRNCARtm;0.0
R_CRNCARtp;0.0
R_CRNt;-0.0
R_CRNtim;0.0
R_CRNtp;0.0
R_CSNATm;-0.0
R_CSNATp;-0.0
R_CSNATr;-0.0
R_CSND;0.0
R_CSNt2;0.0
R_CSm;0.09665115192933914
R_CSp;0.0
R_CTPS1;0.0010299333652313628
R_CTPS2;0.0
R_CTPtm;0.0
R_CYOOm;0.5662291977800878
R_CYOR_u6m;1.2242793465515414
R_CYSS;0.0
R_CYSTGL;0.002470835117207616
R_CYSTL;0.0
R_CYSTLp;0.0
R_CYSTRS;0.001250204747249814
R_CYSTS;0.002470835117207616
R_CYSTtp;-0.0
R_CYSt2r;-0.0
R_CYTD;0.0
R_CYTDK2;0.0
R_CYTDt2;0.0
R_CYTK1;-0.0
R_CYTK2;-0.0
R_DADA;0.0
R_DADK;-0.0
R_DADNt2;0.0
R_DADPtn;-0.0
R_DAGCPT_SC;0.0
R_DAGPYP_SC;0.0003810425923401986
R_DANNt2;-0.0
R_DASYN_SC;-0.0
R_DASYNm_SC;-4.896013436173364e-05
R_DB4PS;3.2341202554980613e-06
R_DBTS;-0.0
R_DCDPtn;-0.0
R_DCMPDA;-0.00013607447492925
R_DCTPD;0.0
R_DCYTD;0.0
R_DCYTt2;0.0
R_DDPA;0.012148812723984992
R_DDPAm;0.0
R_DESAT14;0.0
R_DESAT16;0.000998841916831776
R_DESAT18;0.0008347311493195416
R_DESAT18_2;0.0
R_DGDPtn;-0.0
R_DGGH;0.0
R_DGK1;-0.0
R_DGSNt2;0.0
R_DHAD1m;0.29007788386207806
R_DHAD2m;0.008633887035195598
R_DHAK;0.0
R_DHAPtm;0.0
R_DHFR;0.0001765661458275
R_DHFRim;0.0
R_DHFS;0.0
R_DHFtm;-0.0
R_DHNPAm;0.0
R_DHNPTtm;-0.0
R_DHORD4i;0.0
R_DHORDfum;0.0032960198400975036
R_DHORDi;0.0
R_DHORTS;-0.0032960198400975036
R_DHPSm;0.0
R_DHPTtm;-0.0
R_DHQS;0.012148812723984992
R_DHQTi;0.012148812723984992
R_DIAT;0.0
R_DINSt2;0.0
R_DIPS;0.0
R_DKMPPD2;0.0
R_DMATT;0.0011635407730388207
R_DNMPPA;0.0
R_DNTPPA;0.0
R_DOLK;0.0
R_DOLPMMer;0.024431808050000003
R_DOLPMTcer;0.024431808050000003
R_DOLPt2er;-0.024431808050000003
R_DPCOAK;0.0
R_DPCOAKm;0.0
R_DPGM;-0.0
R_DPMVD;0.003490622319116462
R_DPR;0.0
R_DPRm;0.0
R_DRBK;0.0
R_DROPPRy;1.6170601277490306e-06
R_DRTPPD;1.6170601277490306e-06
R_DTMPK;-0.0
R_DTTPt;-0.0
R_DUMPtn;-0.0
