;ID;Mu_max_KO;Mu_max_WT;Relative_Mu
YOR142W_m__+__YOR236W_m;YOR142W_m__+__YOR236W_m;0,11636502057081088;0,11636502057081088;1,0
YOR142W_m__+__YDL178W_m;YOR142W_m__+__YDL178W_m;0,11636502057081088;0,11636502057081088;1,0
YOR142W_m__+__YBL013W_m;YOR142W_m__+__YBL013W_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YOR142W_m__+__YJR051W_m;YOR142W_m__+__YJR051W_m;0,11636502057081088;0,11636502057081088;1,0
YOR142W_m__+__YBR084W_m;YOR142W_m__+__YBR084W_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YOR142W_m__+__YPL262W_m;YOR142W_m__+__YPL262W_m;0,11636502057081088;0,11636502057081088;1,0
YOR142W_m__+__YAL044C_m;YOR142W_m__+__YAL044C_m;0,11636502057081088;0,11636502057081088;1,0
YOR142W_m__+__YDR019C_m;YOR142W_m__+__YDR019C_m;0,11636502057081088;0,11636502057081088;1,0
YOR142W_m__+__YMR189W_m;YOR142W_m__+__YMR189W_m;0,11636502057081088;0,11636502057081088;1,0
YOR142W_m__+__YBR263W_m;YOR142W_m__+__YBR263W_m;0,1162513828554097;0,11636502057081088;0,9990234375
YOR142W_m__+__YPR184W_m;YOR142W_m__+__YPR184W_m;0,11636502057081088;0,11636502057081088;1,0
YOR142W_m__+__YOL033W_m;YOR142W_m__+__YOL033W_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YOR142W_m__+__YOR040W_m;YOR142W_m__+__YOR040W_m;0,11636502057081088;0,11636502057081088;1,0
YOR142W_m__+__YPL091W_m;YOR142W_m__+__YPL091W_m;0,11636502057081088;0,11636502057081088;1,0
YOR142W_m__+__YDL131W_m;YOR142W_m__+__YDL131W_m;0,11636502057081088;0,11636502057081088;1,0
YOR142W_m__+__YPR033C_m;YOR142W_m__+__YPR033C_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YOR142W_m__+__YHR011W_m;YOR142W_m__+__YHR011W_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YOR142W_m__+__YGR102C_m;YOR142W_m__+__YGR102C_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YOR142W_m__+__YBL080C_m;YOR142W_m__+__YBL080C_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YOR142W_m__+__YMR293C_m;YOR142W_m__+__YMR293C_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YOR142W_m__+__YLR342W_m;YOR142W_m__+__YLR342W_m;0,11591046970920615;0,11636502057081088;0,99609375
YOR142W_m__+__YML110C_m;YOR142W_m__+__YML110C_m;0,11636502057081088;0,11636502057081088;1,0
YOR142W_m__+__YOR374W_m;YOR142W_m__+__YOR374W_m;0,1162513828554097;0,11636502057081088;0,9990234375
YOR142W_m__+__YER073W_m;YOR142W_m__+__YER073W_m;0,11636502057081088;0,11636502057081088;1,0
YOR142W_m__+__YPL028W_m;YOR142W_m__+__YPL028W_m;0,11568319427840379;0,11636502057081088;0,994140625
YOR142W_m__+__YMR207C_m;YOR142W_m__+__YMR207C_m;0,11636502057081088;0,11636502057081088;1,0
YOR142W_m__+__YJL071W_m;YOR142W_m__+__YJL071W_m;0,11636502057081088;0,11636502057081088;1,0
YLR382C_m__+__YNL073W_m;YLR382C_m__+__YNL073W_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YLR382C_m__+__YGR287C_m;YLR382C_m__+__YGR287C_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YLR382C_m__+__YPR006C_m;YLR382C_m__+__YPR006C_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YLR382C_m__+__YKL085W_m;YLR382C_m__+__YKL085W_m;0,01945889016628712;0,11636502057081088;0,16722284816205504
YLR382C_m__+__YKL029C_m;YLR382C_m__+__YKL029C_m;0,05480178825222026;0,11636502057081088;0,470947265625
YLR382C_m__+__YFL018C_m;YLR382C_m__+__YFL018C_m;0,05741900688505375;0,11636502057081088;0,493438720703125
YLR382C_m__+__YLR089C_m;YLR382C_m__+__YLR089C_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YLR382C_m__+__YGL256W_m;YLR382C_m__+__YGL256W_m;0,05712374580444899;0,11636502057081088;0,4909013509750366
