;Enzyme_ID;Flux_FBA;Flux;Concentration;Kapp;Comment;Pseudo complex members;Taken from
R_AGPRim;R_AGPRim_enzyme;0.10925185580118561;1.0;1.1383083278096037e-05;9597.738427462278;estimated;R_AGPRim_enzyme;
R_AHCi;R_AHCi_enzyme;0.013502639929609534;1.0;4.454347622600273e-05;303.13395077430494;estimated;R_AHCi_enzyme;
R_AHSERL;R_AHSERL_enzyme;;;;2868.185963110039;twinenzyme;;R_AHSERL2_enzyme
R_AHSERL2;R_AHSERL2_enzyme;0.032205135420098285;1.0;1.1228398658355307e-05;2868.185963110039;estimated;R_AHSERL2_enzyme;
R_AICART;R_AICART_enzyme;;;;22177.828969482784;twinenzyme;;R_IMPC_enzyme
R_ALASm;R_ALASm_enzyme;0.0001750695538851346;1.0;1.1892064551813104e-07;1472.1544196330728;estimated;R_ALASm_enzyme;
R_ALATA_Lm;R_ALATA_Lm_enzyme;0.00027830403830058503;-1.0;4.801672899015334e-07;579.5980779066731;estimated;R_ALATA_Lm_enzyme;
R_ALCD22xi_duplicate_2;R_ALCD22xi_duplicate_2_enzyme;;;;9935973.263435677;twinenzyme;;R_ALCD2x_new_enzyme
R_ALCD23xi;R_ALCD23xi_enzyme;;;;9935973.263435677;twinenzyme;;R_ALCD2x_new_duplicate_2_enzyme
R_ALCD24xi;R_ALCD24xi_enzyme;;;;9935973.263435677;twinenzyme;;R_ALCD2x_new_duplicate_2_enzyme
R_ALCD25xi;R_ALCD25xi_enzyme;;;;9935973.263435677;twinenzyme;;R_ALCD2x_new_duplicate_2_enzyme
R_ALCD26xi_duplicate_4;R_ALCD26xi_duplicate_4_enzyme;;;;9935973.263435677;twinenzyme;;R_ALCD2x_new_enzyme
R_ALCD2x_new;R_ALCD2x_new_enzyme;13.1592;-1.0;1.3243996990637827e-06;9935973.263435677;estimated;R_ALCD2x_new_enzyme , R_ALCD2x_new_duplicate_2_enzyme , R_ALCD2x_new_duplicate_3_enzyme;
R_ALCD2x_new_duplicate_2;R_ALCD2x_new_duplicate_2_enzyme;13.1592;-1.0;1.3243996990637827e-06;9935973.263435677;estimated;R_ALCD2x_new_enzyme , R_ALCD2x_new_duplicate_2_enzyme , R_ALCD2x_new_duplicate_3_enzyme;
R_ALCD2x_new_duplicate_3;R_ALCD2x_new_duplicate_3_enzyme;13.1592;-1.0;1.3243996990637827e-06;9935973.263435677;estimated;R_ALCD2x_new_enzyme , R_ALCD2x_new_duplicate_2_enzyme , R_ALCD2x_new_duplicate_3_enzyme;
R_ALDD20xm;R_ALDD20xm_enzyme;;;;22108.929998230415;twinenzyme;;R_ALDD2xm_enzyme , R_ALDD2ym_duplicate_2_enzyme
R_ALDD20y;R_ALDD20y_enzyme;;;;31432.648994465868;twinenzyme;;R_ALDD2y_enzyme
R_ALDD20ym;R_ALDD20ym_enzyme;;;;22108.929998230415;twinenzyme;;R_ALDD2xm_enzyme , R_ALDD2ym_duplicate_2_enzyme
R_ALDD2xm;R_ALDD2xm_enzyme;0.43960211276758754;1.0;5.6481379492851264e-05;7783.133427596737;estimated;R_ALDD2xm_enzyme;
