;ID;Mu_max_KO;Mu_max_WT;Relative_Mu
YNL292W_n__+__YHR074W_n;YNL292W_n__+__YHR074W_n;0,11636502057081088;0,11636502057081088;1,0
YNL292W_n__+__YGR010W_n;YNL292W_n__+__YGR010W_n;0,11636502057081088;0,11636502057081088;1,0
YNL292W_n__+__YER070W_n;YNL292W_n__+__YER070W_n;0,11636502057081088;0,11636502057081088;1,0
YNL292W_n__+__YLR043C_n;YNL292W_n__+__YLR043C_n;0,11636502057081088;0,11636502057081088;1,0
YNL292W_n__+__YIL066C_n;YNL292W_n__+__YIL066C_n;0,11636502057081088;0,11636502057081088;1,0
YNL292W_n__+__YNL267W_n;YNL292W_n__+__YNL267W_n;0,11636502057081088;0,11636502057081088;1,0
YNL292W_n__+__YJL026W_n;YNL292W_n__+__YJL026W_n;0,11636502057081088;0,11636502057081088;1,0
YNL292W_n__+__YGR180C_n;YNL292W_n__+__YGR180C_n;0,11636502057081088;0,11636502057081088;1,0
YNL292W_n__+__YGR209C_n;YNL292W_n__+__YGR209C_n;0,11636502057081088;0,11636502057081088;1,0
YNL292W_n__+__YIL010W_n;YNL292W_n__+__YIL010W_n;0,11636502057081088;0,11636502057081088;1,0
YNL292W_n__+__YKL024C_n;YNL292W_n__+__YKL024C_n;0,11636502057081088;0,11636502057081088;1,0
YNL292W_n__+__YFL001W_n;YNL292W_n__+__YFL001W_n;0,11636502057081088;0,11636502057081088;1,0
YDL080C_n__+__YBR034C_n;YDL080C_n__+__YBR034C_n;0,11636502057081088;0,11636502057081088;1,0
YDL080C_n__+__YDR315C_n;YDL080C_n__+__YDR315C_n;0,11636502057081088;0,11636502057081088;1,0
YDL080C_n__+__YDR173C_n;YDL080C_n__+__YDR173C_n;0,11636502057081088;0,11636502057081088;1,0
YDL080C_n__+__YHR074W_n;YDL080C_n__+__YHR074W_n;0,11636502057081088;0,11636502057081088;1,0
YDL080C_n__+__YGR010W_n;YDL080C_n__+__YGR010W_n;0,11636502057081088;0,11636502057081088;1,0
YDL080C_n__+__YER070W_n;YDL080C_n__+__YER070W_n;0,11636502057081088;0,11636502057081088;1,0
YDL080C_n__+__YLR043C_n;YDL080C_n__+__YLR043C_n;0,11636502057081088;0,11636502057081088;1,0
YDL080C_n__+__YIL066C_n;YDL080C_n__+__YIL066C_n;0,11636502057081088;0,11636502057081088;1,0
YDL080C_n__+__YNL267W_n;YDL080C_n__+__YNL267W_n;0,11636502057081088;0,11636502057081088;1,0
YDL080C_n__+__YJL026W_n;YDL080C_n__+__YJL026W_n;0,11636502057081088;0,11636502057081088;1,0
YDL080C_n__+__YGR180C_n;YDL080C_n__+__YGR180C_n;0,11636502057081088;0,11636502057081088;1,0
YDL080C_n__+__YGR209C_n;YDL080C_n__+__YGR209C_n;0,11636502057081088;0,11636502057081088;1,0
YDL080C_n__+__YIL010W_n;YDL080C_n__+__YIL010W_n;0,11636502057081088;0,11636502057081088;1,0
YDL080C_n__+__YKL024C_n;YDL080C_n__+__YKL024C_n;0,11636502057081088;0,11636502057081088;1,0
YDL080C_n__+__YFL001W_n;YDL080C_n__+__YFL001W_n;0,11636502057081088;0,11636502057081088;1,0
YBR034C_n__+__YDR315C_n;YBR034C_n__+__YDR315C_n;0,11636502057081088;0,11636502057081088;1,0
YBR034C_n__+__YDR173C_n;YBR034C_n__+__YDR173C_n;0,11636502057081088;0,11636502057081088;1,0
YBR034C_n__+__YHR074W_n;YBR034C_n__+__YHR074W_n;0,11636502057081088;0,11636502057081088;1,0
YBR034C_n__+__YGR010W_n;YBR034C_n__+__YGR010W_n;0,11636502057081088;0,11636502057081088;1,0
YBR034C_n__+__YER070W_n;YBR034C_n__+__YER070W_n;0,11636502057081088;0,11636502057081088;1,0
YBR034C_n__+__YLR043C_n;YBR034C_n__+__YLR043C_n;0,11636502057081088;0,11636502057081088;1,0
YBR034C_n__+__YIL066C_n;YBR034C_n__+__YIL066C_n;0,11636502057081088;0,11636502057081088;1,0
YBR034C_n__+__YNL267W_n;YBR034C_n__+__YNL267W_n;0,11636502057081088;0,11636502057081088;1,0
YBR034C_n__+__YJL026W_n;YBR034C_n__+__YJL026W_n;0,11636502057081088;0,11636502057081088;1,0
YBR034C_n__+__YGR180C_n;YBR034C_n__+__YGR180C_n;0,11636502057081088;0,11636502057081088;1,0
YBR034C_n__+__YGR209C_n;YBR034C_n__+__YGR209C_n;0,11636502057081088;0,11636502057081088;1,0
YBR034C_n__+__YIL010W_n;YBR034C_n__+__YIL010W_n;0,11636502057081088;0,11636502057081088;1,0
YDR173C_n__+__YNL267W_n;YDR173C_n__+__YNL267W_n;0,11636502057081088;0,11636502057081088;1,0
YDR173C_n__+__YJL026W_n;YDR173C_n__+__YJL026W_n;0,11636502057081088;0,11636502057081088;1,0
YDR173C_n__+__YGR180C_n;YDR173C_n__+__YGR180C_n;0,11636502057081088;0,11636502057081088;1,0
YDR173C_n__+__YGR209C_n;YDR173C_n__+__YGR209C_n;0,11636502057081088;0,11636502057081088;1,0
YDR173C_n__+__YIL010W_n;YDR173C_n__+__YIL010W_n;0,11636502057081088;0,11636502057081088;1,0
YDR173C_n__+__YKL024C_n;YDR173C_n__+__YKL024C_n;0,11636502057081088;0,11636502057081088;1,0
YDR173C_n__+__YFL001W_n;YDR173C_n__+__YFL001W_n;0,11636502057081088;0,11636502057081088;1,0
