;Enzyme_ID;Flux_FBA;Flux;Concentration;Kapp;Comment;Pseudo complex members;Taken from
R_mOM_Porin_diffusion_M_2dhp;R_mOM_Porin_diffusion_M_2dhp_enzyme;;;;35946.085647553846;twinenzyme;;R_mOM_Porin_diffusion_M_3mob_enzyme , R_mOM_Porin_diffusion_M_h2o_enzyme , R_mOM_Porin_diffusion_M_3c3hmp_enzyme , R_mOM_Porin_diffusion_M_pa_SC_enzyme , R_mOM_Porin_diffusion_M_nh4_enzyme , R_mOM_Porin_diffusion_M_co2_enzyme , R_mOM_Porin_diffusion_M_h2o2_enzyme , R_mOM_Porin_diffusion_M_cit_enzyme , R_mOM_Porin_diffusion_M_asp__L_enzyme , R_mOM_Porin_diffusion_M_pe_SC_enzyme , R_mOM_Porin_diffusion_M_atp_enzyme , R_mOM_Porin_diffusion_M_amp_enzyme , R_mOM_Porin_diffusion_M_ppi_enzyme , R_mOM_Porin_diffusion_M_protrna_enzyme , R_mOM_Porin_diffusion_M_dmlz_enzyme , R_mOM_Porin_diffusion_M_cmp_enzyme , R_mOM_Porin_diffusion_M_nad_enzyme , R_mOM_Porin_diffusion_M_ump_enzyme , R_mOM_Porin_diffusion_M_hmgcoa_enzyme , R_mOM_Porin_diffusion_M_2oxoadp_enzyme , R_mOM_Porin_diffusion_M_5aop_enzyme , R_mOM_Porin_diffusion_M_orn_enzyme , R_mOM_Porin_diffusion_M_ac_enzyme , R_mOM_Porin_diffusion_M_3mop_enzyme , R_mOM_Porin_diffusion_M_gmp_enzyme
R_mOM_Porin_diffusion_M_2mbald;R_mOM_Porin_diffusion_M_2mbald_enzyme;;;;35946.085647553846;twinenzyme;;R_mOM_Porin_diffusion_M_3mob_enzyme , R_mOM_Porin_diffusion_M_h2o_enzyme , R_mOM_Porin_diffusion_M_3c3hmp_enzyme , R_mOM_Porin_diffusion_M_pa_SC_enzyme , R_mOM_Porin_diffusion_M_nh4_enzyme , R_mOM_Porin_diffusion_M_co2_enzyme , R_mOM_Porin_diffusion_M_h2o2_enzyme , R_mOM_Porin_diffusion_M_cit_enzyme , R_mOM_Porin_diffusion_M_asp__L_enzyme , R_mOM_Porin_diffusion_M_pe_SC_enzyme , R_mOM_Porin_diffusion_M_atp_enzyme , R_mOM_Porin_diffusion_M_amp_enzyme , R_mOM_Porin_diffusion_M_ppi_enzyme , R_mOM_Porin_diffusion_M_protrna_enzyme , R_mOM_Porin_diffusion_M_dmlz_enzyme , R_mOM_Porin_diffusion_M_cmp_enzyme , R_mOM_Porin_diffusion_M_nad_enzyme , R_mOM_Porin_diffusion_M_ump_enzyme , R_mOM_Porin_diffusion_M_hmgcoa_enzyme , R_mOM_Porin_diffusion_M_2oxoadp_enzyme , R_mOM_Porin_diffusion_M_5aop_enzyme , R_mOM_Porin_diffusion_M_orn_enzyme , R_mOM_Porin_diffusion_M_ac_enzyme , R_mOM_Porin_diffusion_M_3mop_enzyme , R_mOM_Porin_diffusion_M_gmp_enzyme
R_mOM_Porin_diffusion_M_2mbtoh;R_mOM_Porin_diffusion_M_2mbtoh_enzyme;;;;35946.085647553846;twinenzyme;;R_mOM_Porin_diffusion_M_3mob_enzyme , R_mOM_Porin_diffusion_M_h2o_enzyme , R_mOM_Porin_diffusion_M_3c3hmp_enzyme , R_mOM_Porin_diffusion_M_pa_SC_enzyme , R_mOM_Porin_diffusion_M_nh4_enzyme , R_mOM_Porin_diffusion_M_co2_enzyme , R_mOM_Porin_diffusion_M_h2o2_enzyme , R_mOM_Porin_diffusion_M_cit_enzyme , R_mOM_Porin_diffusion_M_asp__L_enzyme , R_mOM_Porin_diffusion_M_pe_SC_enzyme , R_mOM_Porin_diffusion_M_atp_enzyme , R_mOM_Porin_diffusion_M_amp_enzyme , R_mOM_Porin_diffusion_M_ppi_enzyme , R_mOM_Porin_diffusion_M_protrna_enzyme , R_mOM_Porin_diffusion_M_dmlz_enzyme , R_mOM_Porin_diffusion_M_cmp_enzyme , R_mOM_Porin_diffusion_M_nad_enzyme , R_mOM_Porin_diffusion_M_ump_enzyme , R_mOM_Porin_diffusion_M_hmgcoa_enzyme , R_mOM_Porin_diffusion_M_2oxoadp_enzyme , R_mOM_Porin_diffusion_M_5aop_enzyme , R_mOM_Porin_diffusion_M_orn_enzyme , R_mOM_Porin_diffusion_M_ac_enzyme , R_mOM_Porin_diffusion_M_3mop_enzyme , R_mOM_Porin_diffusion_M_gmp_enzyme
R_mOM_Porin_diffusion_M_2mppal;R_mOM_Porin_diffusion_M_2mppal_enzyme;;;;35946.085647553846;twinenzyme;;R_mOM_Porin_diffusion_M_3mob_enzyme , R_mOM_Porin_diffusion_M_h2o_enzyme , R_mOM_Porin_diffusion_M_3c3hmp_enzyme , R_mOM_Porin_diffusion_M_pa_SC_enzyme , R_mOM_Porin_diffusion_M_nh4_enzyme , R_mOM_Porin_diffusion_M_co2_enzyme , R_mOM_Porin_diffusion_M_h2o2_enzyme , R_mOM_Porin_diffusion_M_cit_enzyme , R_mOM_Porin_diffusion_M_asp__L_enzyme , R_mOM_Porin_diffusion_M_pe_SC_enzyme , R_mOM_Porin_diffusion_M_atp_enzyme , R_mOM_Porin_diffusion_M_amp_enzyme , R_mOM_Porin_diffusion_M_ppi_enzyme , R_mOM_Porin_diffusion_M_protrna_enzyme , R_mOM_Porin_diffusion_M_dmlz_enzyme , R_mOM_Porin_diffusion_M_cmp_enzyme , R_mOM_Porin_diffusion_M_nad_enzyme , R_mOM_Porin_diffusion_M_ump_enzyme , R_mOM_Porin_diffusion_M_hmgcoa_enzyme , R_mOM_Porin_diffusion_M_2oxoadp_enzyme , R_mOM_Porin_diffusion_M_5aop_enzyme , R_mOM_Porin_diffusion_M_orn_enzyme , R_mOM_Porin_diffusion_M_ac_enzyme , R_mOM_Porin_diffusion_M_3mop_enzyme , R_mOM_Porin_diffusion_M_gmp_enzyme
R_mOM_Porin_diffusion_M_2obut;R_mOM_Porin_diffusion_M_2obut_enzyme;;;;35946.085647553846;twinenzyme;;R_mOM_Porin_diffusion_M_3mob_enzyme , R_mOM_Porin_diffusion_M_h2o_enzyme , R_mOM_Porin_diffusion_M_3c3hmp_enzyme , R_mOM_Porin_diffusion_M_pa_SC_enzyme , R_mOM_Porin_diffusion_M_nh4_enzyme , R_mOM_Porin_diffusion_M_co2_enzyme , R_mOM_Porin_diffusion_M_h2o2_enzyme , R_mOM_Porin_diffusion_M_cit_enzyme , R_mOM_Porin_diffusion_M_asp__L_enzyme , R_mOM_Porin_diffusion_M_pe_SC_enzyme , R_mOM_Porin_diffusion_M_atp_enzyme , R_mOM_Porin_diffusion_M_amp_enzyme , R_mOM_Porin_diffusion_M_ppi_enzyme , R_mOM_Porin_diffusion_M_protrna_enzyme , R_mOM_Porin_diffusion_M_dmlz_enzyme , R_mOM_Porin_diffusion_M_cmp_enzyme , R_mOM_Porin_diffusion_M_nad_enzyme , R_mOM_Porin_diffusion_M_ump_enzyme , R_mOM_Porin_diffusion_M_hmgcoa_enzyme , R_mOM_Porin_diffusion_M_2oxoadp_enzyme , R_mOM_Porin_diffusion_M_5aop_enzyme , R_mOM_Porin_diffusion_M_orn_enzyme , R_mOM_Porin_diffusion_M_ac_enzyme , R_mOM_Porin_diffusion_M_3mop_enzyme , R_mOM_Porin_diffusion_M_gmp_enzyme
R_mOM_Porin_diffusion_M_2oxoadp;R_mOM_Porin_diffusion_M_2oxoadp_enzyme;9.614112286210421;-1.0;0.0002674592271457704;35946.085647553846;estimated;R_mOM_Porin_diffusion_M_2oxoadp_enzyme;
R_mOM_Porin_diffusion_M_2phetoh;R_mOM_Porin_diffusion_M_2phetoh_enzyme;;;;35946.085647553846;twinenzyme;;R_mOM_Porin_diffusion_M_3mob_enzyme , R_mOM_Porin_diffusion_M_h2o_enzyme , R_mOM_Porin_diffusion_M_3c3hmp_enzyme , R_mOM_Porin_diffusion_M_pa_SC_enzyme , R_mOM_Porin_diffusion_M_nh4_enzyme , R_mOM_Porin_diffusion_M_co2_enzyme , R_mOM_Porin_diffusion_M_h2o2_enzyme , R_mOM_Porin_diffusion_M_cit_enzyme , R_mOM_Porin_diffusion_M_asp__L_enzyme , R_mOM_Porin_diffusion_M_pe_SC_enzyme , R_mOM_Porin_diffusion_M_atp_enzyme , R_mOM_Porin_diffusion_M_amp_enzyme , R_mOM_Porin_diffusion_M_ppi_enzyme , R_mOM_Porin_diffusion_M_protrna_enzyme , R_mOM_Porin_diffusion_M_dmlz_enzyme , R_mOM_Porin_diffusion_M_cmp_enzyme , R_mOM_Porin_diffusion_M_nad_enzyme , R_mOM_Porin_diffusion_M_ump_enzyme , R_mOM_Porin_diffusion_M_hmgcoa_enzyme , R_mOM_Porin_diffusion_M_2oxoadp_enzyme , R_mOM_Porin_diffusion_M_5aop_enzyme , R_mOM_Porin_diffusion_M_orn_enzyme , R_mOM_Porin_diffusion_M_ac_enzyme , R_mOM_Porin_diffusion_M_3mop_enzyme , R_mOM_Porin_diffusion_M_gmp_enzyme
R_mOM_Porin_diffusion_M_34hpp;R_mOM_Porin_diffusion_M_34hpp_enzyme;;;;35946.085647553846;twinenzyme;;R_mOM_Porin_diffusion_M_3mob_enzyme , R_mOM_Porin_diffusion_M_h2o_enzyme , R_mOM_Porin_diffusion_M_3c3hmp_enzyme , R_mOM_Porin_diffusion_M_pa_SC_enzyme , R_mOM_Porin_diffusion_M_nh4_enzyme , R_mOM_Porin_diffusion_M_co2_enzyme , R_mOM_Porin_diffusion_M_h2o2_enzyme , R_mOM_Porin_diffusion_M_cit_enzyme , R_mOM_Porin_diffusion_M_asp__L_enzyme , R_mOM_Porin_diffusion_M_pe_SC_enzyme , R_mOM_Porin_diffusion_M_atp_enzyme , R_mOM_Porin_diffusion_M_amp_enzyme , R_mOM_Porin_diffusion_M_ppi_enzyme , R_mOM_Porin_diffusion_M_protrna_enzyme , R_mOM_Porin_diffusion_M_dmlz_enzyme , R_mOM_Porin_diffusion_M_cmp_enzyme , R_mOM_Porin_diffusion_M_nad_enzyme , R_mOM_Porin_diffusion_M_ump_enzyme , R_mOM_Porin_diffusion_M_hmgcoa_enzyme , R_mOM_Porin_diffusion_M_2oxoadp_enzyme , R_mOM_Porin_diffusion_M_5aop_enzyme , R_mOM_Porin_diffusion_M_orn_enzyme , R_mOM_Porin_diffusion_M_ac_enzyme , R_mOM_Porin_diffusion_M_3mop_enzyme , R_mOM_Porin_diffusion_M_gmp_enzyme
R_mOM_Porin_diffusion_M_3c3hmp;R_mOM_Porin_diffusion_M_3c3hmp_enzyme;9.61411228621042;-1.0;0.0002674592271457704;35946.08564755384;estimated;R_mOM_Porin_diffusion_M_3c3hmp_enzyme;
R_mOM_Porin_diffusion_M_3c4mop;R_mOM_Porin_diffusion_M_3c4mop_enzyme;;;;35946.085647553846;twinenzyme;;R_mOM_Porin_diffusion_M_3mob_enzyme , R_mOM_Porin_diffusion_M_h2o_enzyme , R_mOM_Porin_diffusion_M_3c3hmp_enzyme , R_mOM_Porin_diffusion_M_pa_SC_enzyme , R_mOM_Porin_diffusion_M_nh4_enzyme , R_mOM_Porin_diffusion_M_co2_enzyme , R_mOM_Porin_diffusion_M_h2o2_enzyme , R_mOM_Porin_diffusion_M_cit_enzyme , R_mOM_Porin_diffusion_M_asp__L_enzyme , R_mOM_Porin_diffusion_M_pe_SC_enzyme , R_mOM_Porin_diffusion_M_atp_enzyme , R_mOM_Porin_diffusion_M_amp_enzyme , R_mOM_Porin_diffusion_M_ppi_enzyme , R_mOM_Porin_diffusion_M_protrna_enzyme , R_mOM_Porin_diffusion_M_dmlz_enzyme , R_mOM_Porin_diffusion_M_cmp_enzyme , R_mOM_Porin_diffusion_M_nad_enzyme , R_mOM_Porin_diffusion_M_ump_enzyme , R_mOM_Porin_diffusion_M_hmgcoa_enzyme , R_mOM_Porin_diffusion_M_2oxoadp_enzyme , R_mOM_Porin_diffusion_M_5aop_enzyme , R_mOM_Porin_diffusion_M_orn_enzyme , R_mOM_Porin_diffusion_M_ac_enzyme , R_mOM_Porin_diffusion_M_3mop_enzyme , R_mOM_Porin_diffusion_M_gmp_enzyme
