;Enzyme_ID;Flux_FBA;Flux;Concentration;Kapp;Comment;Pseudo complex members;Taken from
R_13GS;R_13GS_enzyme;0.034317713225000004;1.0;2.7696120651664705e-07;123908.01461553173;estimated;R_13GS_enzyme , R_13GS_duplicate_2_enzyme , R_13GS_duplicate_5_enzyme , R_13GS_duplicate_7_enzyme , R_13GS_duplicate_11_enzyme , R_13GS_duplicate_14_enzyme;
R_13GS_duplicate_10;R_13GS_duplicate_10_enzyme;;1.0;;0.0;isoenzyme;;R_13GS
R_13GS_duplicate_11;R_13GS_duplicate_11_enzyme;0.034317713225000004;1.0;2.7696120651664705e-07;123908.01461553173;estimated;R_13GS_enzyme , R_13GS_duplicate_2_enzyme , R_13GS_duplicate_5_enzyme , R_13GS_duplicate_7_enzyme , R_13GS_duplicate_11_enzyme , R_13GS_duplicate_14_enzyme;
R_13GS_duplicate_12;R_13GS_duplicate_12_enzyme;;1.0;;0.0;isoenzyme;;R_13GS
R_13GS_duplicate_13;R_13GS_duplicate_13_enzyme;;1.0;;0.0;isoenzyme;;R_13GS
R_13GS_duplicate_14;R_13GS_duplicate_14_enzyme;0.034317713225000004;1.0;2.7696120651664705e-07;123908.01461553173;estimated;R_13GS_enzyme , R_13GS_duplicate_2_enzyme , R_13GS_duplicate_5_enzyme , R_13GS_duplicate_7_enzyme , R_13GS_duplicate_11_enzyme , R_13GS_duplicate_14_enzyme;
R_13GS_duplicate_15;R_13GS_duplicate_15_enzyme;;1.0;;0.0;isoenzyme;;R_13GS
R_13GS_duplicate_2;R_13GS_duplicate_2_enzyme;0.034317713225000004;1.0;2.7696120651664705e-07;123908.01461553173;estimated;R_13GS_enzyme , R_13GS_duplicate_2_enzyme , R_13GS_duplicate_5_enzyme , R_13GS_duplicate_7_enzyme , R_13GS_duplicate_11_enzyme , R_13GS_duplicate_14_enzyme;
R_13GS_duplicate_3;R_13GS_duplicate_3_enzyme;;1.0;;0.0;isoenzyme;;R_13GS
R_13GS_duplicate_4;R_13GS_duplicate_4_enzyme;;1.0;;0.0;isoenzyme;;R_13GS
R_13GS_duplicate_5;R_13GS_duplicate_5_enzyme;0.034317713225000004;1.0;2.7696120651664705e-07;123908.01461553173;estimated;R_13GS_enzyme , R_13GS_duplicate_2_enzyme , R_13GS_duplicate_5_enzyme , R_13GS_duplicate_7_enzyme , R_13GS_duplicate_11_enzyme , R_13GS_duplicate_14_enzyme;
R_13GS_duplicate_6;R_13GS_duplicate_6_enzyme;;1.0;;0.0;isoenzyme;;R_13GS
R_13GS_duplicate_7;R_13GS_duplicate_7_enzyme;0.034317713225000004;1.0;2.7696120651664705e-07;123908.01461553173;estimated;R_13GS_enzyme , R_13GS_duplicate_2_enzyme , R_13GS_duplicate_5_enzyme , R_13GS_duplicate_7_enzyme , R_13GS_duplicate_11_enzyme , R_13GS_duplicate_14_enzyme;
R_13GS_duplicate_8;R_13GS_duplicate_8_enzyme;;1.0;;0.0;isoenzyme;;R_13GS
R_13GS_duplicate_9;R_13GS_duplicate_9_enzyme;;1.0;;0.0;isoenzyme;;R_13GS
R_3MOBDC;R_3MOBDC_enzyme;0.47724410125817807;1.0;5.121524204086344e-07;931839.9801320791;estimated;R_3MOBDC_enzyme , R_3MOBDC_duplicate_2_enzyme , R_3MOBDC_duplicate_3_enzyme;
R_3MOBDC_duplicate_2;R_3MOBDC_duplicate_2_enzyme;0.47724410125817807;1.0;5.121524204086344e-07;931839.9801320791;estimated;R_3MOBDC_enzyme , R_3MOBDC_duplicate_2_enzyme , R_3MOBDC_duplicate_3_enzyme;
R_3MOBDC_duplicate_3;R_3MOBDC_duplicate_3_enzyme;0.47724410125817807;1.0;5.121524204086344e-07;931839.9801320791;estimated;R_3MOBDC_enzyme , R_3MOBDC_duplicate_2_enzyme , R_3MOBDC_duplicate_3_enzyme;
R_3MOPDC;R_3MOPDC_enzyme;;;;931839.9801320791;twinenzyme;;R_3MOBDC_duplicate_3_enzyme , R_PYRDC_duplicate_2_enzyme
R_4HTHRS;R_4HTHRS_enzyme;;;;2428.6122101739625;twinenzyme;;R_THRS_enzyme
R_AASAD1;R_AASAD1_enzyme;;;;5030.833934462343;twinenzyme;;R_AASAD2_enzyme
R_AASAD2;R_AASAD2_enzyme;0.008985247391281505;1.0;1.7860353786934889e-06;5030.833934462343;estimated;R_AASAD2_enzyme;
R_ABTA;R_ABTA_enzyme;2.1026578736649295e-06;1.0;8.226459842885472e-07;2.5559692915578758;estimated;R_ABTA_enzyme;
R_ABUTDm;R_ABUTDm_enzyme;;;;14509.826049397418;twinenzyme;;R_ALDD2ym_duplicate_2_enzyme
R_ACACT1m;R_ACACT1m_enzyme;0.003490622319116462;1.0;6.2922844376170255e-06;554.7464285385053;estimated;R_ACACT1m_enzyme;
R_ACACT1r;R_ACACT1r_enzyme;;;;554.7464285385053;twinenzyme;;R_ACACT1m_enzyme
R_ACALDCD;R_ACALDCD_enzyme;;;;931839.9801320791;twinenzyme;;R_3MOBDC_duplicate_3_enzyme , R_PYRDC_duplicate_2_enzyme
R_ACGKm;R_ACGKm_enzyme;0.01260628972610261;1.0;1.5110260022561336e-05;834.2867500148897;estimated;R_ACGKm_enzyme;
R_ACGSm;R_ACGSm_enzyme;;;;1772.0996915112476;twinenzyme;;R_ORNTACim_enzyme
R_ACHBSm;R_ACHBSm_enzyme;0.29871177089727363;1.0;1.4213152213994714e-05;21016.574395309206;estimated;R_ACHBSm_enzyme;
