,Hackett_C005,Hackett_C01,Hackett_C016,Hackett_C022,Hackett_C03
0,15.208761320857061,12.221580335485218,13.716858078257587,11.905464438633235,7.205358694662063
1,2.6467044622755047,3.3744246607044452,3.8594073978900454,3.803161212492691,4.211859861781751
2,2.7362060900237184,2.931621496918962,2.755688777516222,2.182039646511951,3.4298962895948106
3,2.6765435332491925,2.1928936639701604,2.0826728812707858,1.3317427158811002,2.610860215101417
4,2.6379923297788417,2.9353389875005207,1.9169324320343037,1.8031128097992217,1.2726472328260603
5,1.3581778497648105,1.6603561042952377,1.9947183302320324,1.5755357235992795,1.469501898067126
6,1.3743197252104267,1.6649625417416705,1.6572963042548918,1.984248689227444,1.1138742101923191
7,1.5438922309703802,1.5375226081715985,1.6115977354223932,1.8519605471743465,1.113692777035272
8,1.6142011471970028,1.552803755782083,1.6014785781713359,1.6958765131890863,1.3090101050587015
9,1.4643659287302317,1.5220032770389629,1.5821006425244595,1.6585845409945443,1.5052547640109546
