,original_amino_acid_occupation,original_protein_fraction,original_PG_fraction,Factor_A,Factor_B,new_protein_fraction,new_PG_fraction,Factor_C,Location,copy_number_scaling
Total,1.8941539646117844e+21,1.0,0.2575541276795077,,,1.0000000000000004,,,Total,
pg_n,4.157782958526329e+19,0.02195060716396666,1.0,,,,,,pg_n,
n,1.2677483713174743e+19,0.006692953133708458,0.0,1.0307918846629514,0.7933060173524626,0.08,0.92968,,n,0.840525831813639
pg_Secreted,1.500446532800023e+19,0.007921460244693184,1.0,,,,,,pg_Secreted,
Secreted,2.0173377857881513e+18,0.0010650336896988275,0.0,1.0307918846629514,0.7933060173524626,0.09322951,0.98995305136,,Secreted,0.8794764970930078
Ribosomes,2.5527532993262777e+20,0.13477010565239222,0.18709025118339284,1.0307918846629514,,0.1437,,,Ribosomes,
erM,2.9235466671880647e+19,0.015434577768271646,0.6558781403810585,1.0307918846629514,0.7933060173524626,0.01228637,0.63377,1.0093740796546362,erM,0.8471698521317672
gM,2.790215744560041e+19,0.014730670244812484,0.5996119016119572,1.0307918846629514,0.7933060173524626,0.01188942423,0.58747012038,1.0093740796546362,gM,0.8315963345137386
x,1.1473049475334197e+19,0.006057083895862526,0.02868879629219956,1.0307918846629514,0.7933060173524626,0.005023790000000004,0.037872808349999995,1.0093740796546362,x,0.8215650934361002
m,2.170531435079913e+20,0.11459107736919229,0.05913420085787924,1.0307918846629514,0.7933060173524626,0.09501200999999992,0.0571980079,1.0093740796546362,m,0.8308459603455128
vM,1.049287358439462e+19,0.005539609651818976,0.9452837469805588,1.0307918846629514,0.7933060173524626,0.00451,0.93818694297,1.0093740796546362,vM,0.9197319047384848
cM,4.4091591407865766e+19,0.02327772305294229,0.3297841202094465,1.0307918846629514,0.7933060173524626,0.018794577030000002,0.3288552598100001,1.0093740796546362,cM,0.8085251560806159
mIMS,2.3734504159371813e+19,0.012530398585753989,0.015854083131723207,1.0307918846629514,0.7933060173524626,0.00984,0.017228070000000012,1.0093740796546362,mIMS,0.7841939026317195
mIM,9.335036232170106e+19,0.049283407825210054,0.05194692268928547,1.0307918846629514,0.7933060173524626,0.03859069426,0.05918810127000001,1.0093740796546362,mIM,0.7770554492062755
c,1.0888169761057975e+21,0.5748302389605142,0.2758191636560605,1.0307918846629514,0.7933060173524626,0.61576303296,0.20205319502000002,1.0093740796546362,c,0.8351236513141295
mOM,2.1451393586993545e+19,0.011325052761162479,0.20669892767753317,1.0307918846629514,0.7933060173524626,0.009313850000000002,0.20630069020000005,1.0093740796546362,mOM,0.8228240303338088
